,density,kinetic_energy,mass,object,object_id,object_radius,object_velocity,potential_energy,pressure,temperature,total_energy_released,x_coords,x_direct,y_coords,y_direct,z_coords,z_direct,neighbors,T_gradient,T_laplacian,dT/dt,K
0,,,,Silicate Liquid,B5,,,,,1583,,0.0,,0.0,,0.0,,,"[[3.0], [3.0], [16.0]]","[[0.0], [0.0], [-7.0]]",,
1,,,,Silicate Liquid,B46,,,,,1600,,0.0,,0.0,,1.0,,,"[[-9.0], [-9.0], [9.0]]","[[9.0], [9.0], [-3.25]]",,
2,,,,Silicate Liquid,B13,,,,,1603,,0.0,,0.0,,2.0,,,"[[-12.0], [-12.0], [9.5]]","[[12.0], [12.0], [4.0]]",,
3,,,,Silicate Liquid,B1,,,,,1623,,0.0,,0.0,,3.0,,,"[[-28.0], [-28.0], [17.0]]","[[36.5], [36.5], [25.25]]",,
4,,,,Silicate Liquid,B13,,,,,1644,,0.0,,0.0,,4.0,,,"[[-45.0], [-45.0], [60.0]]","[[60.0], [60.0], [43.0]]",,
5,,,,Silicate Liquid,B47,,,,,1765,,0.0,,0.0,,5.0,,,"[[-148.0], [-148.0], [103.0]]","[[241.0], [241.0], [43.0]]",,
6,,,,Silicate Liquid,B96,,,,,1586,,0.0,,1.0,,0.0,,,"[[2.0], [3.0], [4.0]]","[[-0.5], [1.75], [-2.5]]",,
7,,,,Silicate Liquid,B24,,,,,1591,,0.0,,1.0,,1.0,,,"[[1.0], [0.0], [1.5]]","[[0.0], [2.0], [-2.0]]",,
8,,,,Silicate Liquid,B5,,,,,1590,,0.0,,1.0,,2.0,,,"[[1.0], [0.0], [0.0]]","[[0.0], [0.75], [-0.5]]",,
9,,,,Silicate Liquid,B71,,,,,1591,,0.0,,1.0,,3.0,,,"[[1.0], [8.5], [0.5]]","[[0.0], [0.5], [0.0]]",,
10,,,,Silicate Liquid,B61,,,,,1591,,0.0,,1.0,,4.0,,,"[[1.0], [15.0], [0.0]]","[[0.0], [1.5], [-0.25]]",,
11,,,,Silicate Liquid,B40,,,,,1591,,0.0,,1.0,,5.0,,,"[[2.0], [93.0], [0.0]]","[[-0.5], [1.25], [0.0]]",,
12,,,,Silicate Liquid,B49,,,,,1589,,0.0,,2.0,,0.0,,,"[[0.0], [6.5], [10.0]]","[[-0.5], [3.5], [-4.0]]",,
13,,,,Silicate Liquid,B18,,,,,1600,,0.0,,2.0,,1.0,,,"[[-7.0], [-5.0], [6.0]]","[[5.5], [-9.5], [4.0]]",,
14,,,,Silicate Liquid,B0,,,,,1602,,0.0,,2.0,,2.0,,,"[[-10.0], [-10.5], [18.0]]","[[8.5], [-16.5], [13.0]]",,
15,,,,Silicate Liquid,B86,,,,,1639,,0.0,,2.0,,3.0,,,"[[-43.0], [-27.0], [32.0]]","[[60.5], [-53.75], [63.25]]",,
16,,,,Silicate Liquid,B65,,,,,1672,,0.0,,2.0,,4.0,,,"[[-73.0], [-42.0], [144.5]]","[[109.5], [-87.0], [113.5]]",,
17,,,,Silicate Liquid,B75,,,,,1945,,0.0,,2.0,,5.0,,,"[[-331.0], [-145.5], [259.0]]","[[649.5], [-359.0], [114.5]]",,
18,,,,Silicate Liquid,B7,,,,,1600,,0.0,,3.0,,0.0,,,"[[-6.0], [10.0], [-19.0]]","[[1.0], [3.5], [3.5]]",,
19,,,,Silicate Liquid,B55,,,,,1579,,0.0,,3.0,,1.0,,,"[[13.0], [-19.0], [-15.5]]","[[-13.0], [-14.0], [-1.5]]",,
20,,,,Silicate Liquid,B41,,,,,1566,,0.0,,3.0,,2.0,,,"[[24.0], [-33.0], [-22.0]]","[[-22.0], [-22.5], [-7.75]]",,
21,,,,Silicate Liquid,B8,,,,,1527,,0.0,,3.0,,3.0,,,"[[57.0], [-99.0], [-31.0]]","[[-72.0], [-72.0], [-48.25]]",,
22,,,,Silicate Liquid,B42,,,,,1490,,0.0,,3.0,,4.0,,,"[[87.0], [-159.0], [-118.5]]","[[-119.5], [-117.0], [-88.0]]",,
23,,,,Silicate Liquid,B41,,,,,1247,,0.0,,3.0,,5.0,,,"[[297.0], [-625.0], [-207.0]]","[[-484.5], [-479.5], [-88.5]]",,
24,,,,Silicate Liquid,B15,,,,,1586,,1.0,,0.0,,0.0,,,"[[3.0], [2.0], [4.0]]","[[1.75], [-0.5], [-2.5]]",,
25,,,,Silicate Liquid,B45,,,,,1591,,1.0,,0.0,,1.0,,,"[[0.0], [1.0], [1.5]]","[[2.0], [0.0], [-2.0]]",,
26,,,,Silicate Liquid,B38,,,,,1590,,1.0,,0.0,,2.0,,,"[[0.0], [1.0], [0.0]]","[[0.75], [0.0], [-0.5]]",,
27,,,,Silicate Liquid,B34,,,,,1591,,1.0,,0.0,,3.0,,,"[[8.5], [1.0], [0.5]]","[[0.5], [0.0], [0.0]]",,
28,,,,Silicate Liquid,B41,,,,,1591,,1.0,,0.0,,4.0,,,"[[15.0], [1.0], [0.0]]","[[1.5], [0.0], [-0.25]]",,
29,,,,Silicate Liquid,B45,,,,,1591,,1.0,,0.0,,5.0,,,"[[93.0], [2.0], [0.0]]","[[1.25], [-0.5], [0.0]]",,
30,,,,Silicate Liquid,B63,,,,,1588,,1.0,,1.0,,0.0,,,"[[1.5], [1.5], [3.0]]","[[0.25], [0.25], [-2.0]]",,
31,,,,Silicate Liquid,B10,,,,,1591,,1.0,,1.0,,1.0,,,"[[1.0], [1.0], [1.0]]","[[0.0], [0.0], [-1.5]]",,
32,,,,Silicate Liquid,B81,,,,,1590,,1.0,,1.0,,2.0,,,"[[1.0], [1.0], [0.0]]","[[0.0], [0.0], [-0.25]]",,
33,,,,Silicate Liquid,B83,,,,,1592,,1.0,,1.0,,3.0,,,"[[1.0], [1.0], [0.5]]","[[0.0], [0.0], [0.25]]",,
34,,,,Silicate Liquid,B1,,,,,1592,,1.0,,1.0,,4.0,,,"[[1.0], [1.0], [0.5]]","[[0.0], [0.0], [0.25]]",,
35,,,,Silicate Liquid,B0,,,,,1593,,1.0,,1.0,,5.0,,,"[[1.5], [1.5], [1.0]]","[[0.0], [0.0], [0.5]]",,
36,,,,Silicate Liquid,B95,,,,,1589,,1.0,,2.0,,0.0,,,"[[-0.5], [2.5], [3.0]]","[[0.0], [1.25], [-2.0]]",,
37,,,,Silicate Liquid,B25,,,,,1592,,1.0,,2.0,,1.0,,,"[[-1.5], [1.0], [1.0]]","[[0.5], [0.0], [-1.5]]",,
38,,,,Silicate Liquid,B63,,,,,1592,,1.0,,2.0,,2.0,,,"[[-1.5], [1.0], [0.0]]","[[0.25], [0.0], [-0.25]]",,
39,,,,Silicate Liquid,B7,,,,,1593,,1.0,,2.0,,3.0,,,"[[17.5], [1.0], [0.5]]","[[0.0], [0.0], [0.25]]",,
40,,,,Silicate Liquid,B90,,,,,1592,,1.0,,2.0,,4.0,,,"[[36.5], [1.0], [0.5]]","[[-1.25], [0.0], [0.25]]",,
41,,,,Silicate Liquid,B60,,,,,1593,,1.0,,2.0,,5.0,,,"[[318.5], [2.0], [1.0]]","[[-1.75], [0.75], [0.5]]",,
42,,,,Silicate Liquid,B26,,,,,1594,,1.0,,3.0,,0.0,,,"[[-5.0], [4.0], [0.0]]","[[0.5], [1.5], [-0.5]]",,
43,,,,Silicate Liquid,B79,,,,,1593,,1.0,,3.0,,1.0,,,"[[0.0], [1.0], [-0.5]]","[[-0.25], [0.0], [0.0]]",,
44,,,,Silicate Liquid,B73,,,,,1593,,1.0,,3.0,,2.0,,,"[[2.0], [1.0], [0.0]]","[[-0.5], [0.0], [0.5]]",,
45,,,,Silicate Liquid,B76,,,,,1594,,1.0,,3.0,,3.0,,,"[[-15.0], [1.0], [0.5]]","[[-0.75], [0.0], [0.75]]",,
46,,,,Silicate Liquid,B22,,,,,1593,,1.0,,3.0,,4.0,,,"[[-32.5], [1.0], [1.5]]","[[-1.75], [0.0], [1.25]]",,
47,,,,Silicate Liquid,B55,,,,,1597,,1.0,,3.0,,5.0,,,"[[-187.5], [3.0], [3.0]]","[[-2.0], [1.0], [1.5]]",,
48,,,,Silicate Liquid,B64,,,,,1589,,2.0,,0.0,,0.0,,,"[[6.5], [0.0], [10.0]]","[[3.5], [-0.5], [-4.0]]",,
49,,,,Silicate Liquid,B16,,,,,1600,,2.0,,0.0,,1.0,,,"[[-5.0], [-7.0], [6.0]]","[[-9.5], [5.5], [4.0]]",,
50,,,,Silicate Liquid,B72,,,,,1602,,2.0,,0.0,,2.0,,,"[[-10.5], [-10.0], [18.0]]","[[-16.5], [8.5], [13.0]]",,
51,,,,Silicate Liquid,B78,,,,,1639,,2.0,,0.0,,3.0,,,"[[-27.0], [-43.0], [32.0]]","[[-53.75], [60.5], [63.25]]",,
52,,,,Silicate Liquid,B69,,,,,1672,,2.0,,0.0,,4.0,,,"[[-42.0], [-73.0], [144.5]]","[[-87.0], [109.5], [113.5]]",,
53,,,,Silicate Liquid,B85,,,,,1945,,2.0,,0.0,,5.0,,,"[[-145.5], [-331.0], [259.0]]","[[-359.0], [649.5], [114.5]]",,
54,,,,Silicate Liquid,B31,,,,,1589,,2.0,,1.0,,0.0,,,"[[2.5], [-0.5], [3.0]]","[[1.25], [0.0], [-2.0]]",,
55,,,,Silicate Liquid,B71,,,,,1592,,2.0,,1.0,,1.0,,,"[[1.0], [-1.5], [1.0]]","[[0.0], [0.5], [-1.5]]",,
56,,,,Silicate Liquid,B95,,,,,1592,,2.0,,1.0,,2.0,,,"[[1.0], [-1.5], [0.0]]","[[0.0], [0.25], [-0.25]]",,
57,,,,Silicate Liquid,B15,,,,,1593,,2.0,,1.0,,3.0,,,"[[1.0], [17.5], [0.5]]","[[0.0], [0.0], [0.25]]",,
58,,,,Silicate Liquid,B84,,,,,1592,,2.0,,1.0,,4.0,,,"[[1.0], [36.5], [0.5]]","[[0.0], [-1.25], [0.25]]",,
59,,,,Silicate Liquid,B1,,,,,1593,,2.0,,1.0,,5.0,,,"[[2.0], [318.5], [1.0]]","[[0.75], [-1.75], [0.5]]",,
60,,,,Silicate Liquid,B51,,,,,1588,,2.0,,2.0,,0.0,,,"[[0.0], [0.0], [8.0]]","[[0.75], [0.75], [-3.0]]",,
61,,,,Silicate Liquid,B53,,,,,1597,,2.0,,2.0,,1.0,,,"[[-6.0], [-6.0], [5.0]]","[[-7.25], [-7.25], [14.5]]",,
62,,,,Silicate Liquid,B67,,,,,1599,,2.0,,2.0,,2.0,,,"[[-9.5], [-9.5], [37.0]]","[[-12.25], [-12.25], [32.5]]",,
63,,,,Silicate Liquid,B31,,,,,1672,,2.0,,2.0,,3.0,,,"[[-43.0], [-43.0], [70.0]]","[[-90.75], [-90.75], [204.25]]",,
64,,,,Silicate Liquid,B96,,,,,1741,,2.0,,2.0,,4.0,,,"[[-75.5], [-75.5], [445.5]]","[[-166.75], [-166.75], [376.5]]",,
65,,0.0,1.0,Metal Liquid,A81,0.1,0.0,0.0,,2561,,2.0,,2.0,,5.0,0.0,,"[[-334.5], [-334.5], [823.0]]","[[-977.75], [-977.75], [377.5]]",,
66,,,,Silicate Liquid,B34,,,,,1590,,2.0,,3.0,,0.0,,,"[[-5.0], [1.0], [-9.0]]","[[-0.5], [1.0], [0.5]]",,
67,,,,Silicate Liquid,B23,,,,,1580,,2.0,,3.0,,1.0,,,"[[12.5], [-16.0], [-8.5]]","[[19.0], [-10.0], [-14.0]]",,
68,,,,Silicate Liquid,B83,,,,,1572,,2.0,,3.0,,2.0,,,"[[23.0], [-26.0], [-37.0]]","[[32.0], [-16.5], [-28.5]]",,
