Element,Atomic Symbol,Atomic Weight
hydrogen,H,1.0082
helium,He,4.0026
lithium,Li,6.9970
beryllium,Be,9.0122
boron,B,10.8210
carbon,C,12.0120
nitrogen,N,14.0080
oxygen,O,16.0000
fluorine,F,18.9980
neon,Ne,20.1800
sodium,Na,20.9900
magnesium,Mg,24.3070
aluminum,Al,26.9820
silicon,Si,28.0860
phosphorus,P,30.9740
sulfur,S,32.0760
chlorine,Cl,35.4570
argon,Ar,39.9480
potassium,K,39.0980
calcium,Ca,40.0780
scandium,Sc,44.9560
titanium,Ti,47.8670
vanadium,V,50.9420
chromium,Cr,51.9960
manganese,Mn,54.9380
iron,Fe,55.8450
cobalt,Co,58.9330
nickel,Ni,58.6930
copper,Cu,63.5460
zinc,Zn,65.3800
gallium,Ga,69.7230
germanium,Ge,72.6300
arsenic,As,74.9220
selenium,Se,78.9710
bromine,Br,79.9070
krypton,Kr,83.7980
rubidium,Rb,85.4680
strontium,Sr,87.6200
yttrium,Y,88.9060
zirconium,Zr,91.2240
niobium,Nb,92.9060
molybdenum,Mo,95.9500
technetium*,Tc, 
ruthenium,Ru,101.0700
rhodium,Rh,102.9100
palladium,Pd,106.4200
silver,Ag,107.8700
cadmium,Cd,112.4100
indium,In,114.8200
tin,Sn,118.7100
antimony,Sb,121.7600
tellurium,Te,127.6000
iodine,I,126.9000
xenon,Xe,131.2900
caesium (cesium),Cs,132.9100
barium,Ba,137.3300
lanthanum,La,138.9100
cerium,Ce,140.1200
praseodymium,Pr,140.9100
neodymium,Nd,144.2400
promethium*,Pm, 
samarium,Sm,150.3600
europium,Eu,151.9600
gadolinium,Gd,157.2500
terbium,Tb,158.9300
dysprosium,Dy,162.5000
holmium,Ho,164.9300
erbium,Er,167.2600
thulium,Tm,168.9300
ytterbium,Yb,173.0500
lutetium,Lu,174.9700
hafnium,Hf,178.4900
tantalum,Ta,180.9500
tungsten,W,183.8400
rhenium,Re,186.2100
osmium,Os,190.2300
iridium,Ir,192.2200
platinum,Pt,195.0800
gold,Au,196.9700
mercury,Hg,200.5900
thallium,Tl,204.3900
lead,Pb,207.2000
bismuth*,Bi,208.9800
polonium*,Po , 
astatine*,At, 
radon*,Rn, 
francium*,Fr, 
radium*,Ra, 
actinium*,Ac, 
thorium*,Th,232.0400
protactinium*,Pa,231.0400
uranium*,U,238.0300
neptunium*,Np,
plutonium*,Pu,
americium*,Am,
curium*,Cm,
berkelium*,Bk,
californium*,Cf,
einsteinium*,Es,
fermium*,Fm,
mendelevium*,Md,
nobelium*,No,
lawrencium*,Lr,
rutherfordium*,Rf,
dubnium*,Db,
seaborgium*,Sg,
bohrium*,Bh,
hassium*,Hs,
meitnerium*,Mt,
darmstadtium*,Ds,
roentgenium*,Rg,
copernicium*,Cn,
ununtrium*,Uut,
flerovium*,Fl,
ununpentium*,Uup,
livermorium*,Lv,
ununseptium*,Uus,
ununoctium*,Uuo,
,,
