Run,Capsule,Pressure,Temperature,fO2,Corrected_fO2,logD,D,Corrected_logD,Corrected_D
W05.3,C,0.50,2100.00,-2.18,-1.88,2.15,141.25,1.76,57.54
W76,C,2.00,2450.00,-2.26,-1.87,2.79,616.60,2.2,158.49
W01,C,6.00,2300.00,-2.20,-1.87,3.48,3019.95,3.02,1047.13
W1.13,C,1.00,2100.00,-2.17,-1.86,3.35,2238.72,2.97,933.25
GG082705,W,2.10,2073.00,-1.86,-1.86,3.89,7762.47,4.53,33884.42
GG081005,W,2.30,2673.00,-1.80,-1.80,3.95,8912.51,4.35,22387.21
W1.09,C,1.00,2100.00,-2.07,-1.79,2.42,263.03,2.04,109.65
GL112105,W,2.00,2073.00,-1.77,-1.77,3.09,1230.27,3.73,5370.32
W58,C,2.00,2300.00,-2.06,-1.73,2.66,457.09,2.16,144.54
W10,C,2.00,2300.00,-2.06,-1.69,3.64,4365.16,3.13,1348.96
W1.12,C,1.00,2100.00,-1.92,-1.64,3.55,3548.13,3.14,1380.38
W05.02a,C,0.50,2100.00,-1.89,-1.60,3.03,1071.52,2.64,436.52
W1.04,C,1.00,2100.00,-1.84,-1.55,3.04,1096.48,2.67,467.74
W1.15,C,1.00,2100.00,-1.80,-1.55,1.83,67.61,1.48,30.20
W47,C,2.00,2300.00,-1.90,-1.55,3.18,1513.56,2.68,478.63
W23,C,2.00,2600.00,-2.01,-1.55,3.49,3090.30,2.8,630.96
GG121703,W,2.30,2673.00,-1.55,-1.55,2.89,776.25,3.29,1949.84
W49,C,6.00,2300.00,-1.88,-1.55,3.13,1348.96,2.65,446.68
W56,C,2.00,2300.00,-1.90,-1.54,2.54,346.74,2.03,107.15
W28,C,6.00,2300.00,-1.86,-1.54,3.23,1698.24,2.72,524.81
W77,C,2.00,2450.00,-1.87,-1.51,2.53,338.84,1.97,93.33
GG080405,W,2.30,2300.00,-1.51,-1.51,3.61,4073.80,4.14,13803.84
W51,C,6.00,2700.00,-2.00,-1.50,3.15,1412.54,2.37,234.42
W95,C,18.00,2500.00,-1.80,-1.50,2.01,102.33,1.51,32.36
