Run,Pressure,Temperature,fO2,D
W05.1a,0.50,2100.00,-1.22,50.12
W05.1b,0.50,2100.00,-1.35,223.87
W05.02a,0.50,2100.00,-1.60,436.52
W05.02B,0.50,2100.00,-1.31,69.18
W05.3,0.50,2100.00,-1.88,57.54
W1.04,1.00,2100.00,-1.55,467.74
W1.05,1.00,2100.00,-1.31,125.89
W1.06,1.00,2100.00,-1.47,72.44
W1.07,1.00,2100.00,-1.06,53.70
W1.08,1.00,2100.00,-1.37,204.17
W1.09,1.00,2100.00,-1.79,109.65
W1.10,1.00,2100.00,-1.06,30.20
W1.11,1.00,2100.00,-1.14,74.13
W1.12,1.00,2100.00,-1.64,1380.38
W1.13,1.00,2100.00,-1.86,933.25
W1.14,1.00,2100.00,-1.31,47.86
W1.15,1.00,2100.00,-1.55,30.20
W08,2.00,2300.00,-1.26,69.18
W10,2.00,2300.00,-1.69,1348.96
W12,2.00,2300.00,-1.00,22.91
W17,2.00,2300.00,-1.38,446.68
W20,2.00,2300.00,-1.08,35.48
W34,2.00,2300.00,-1.30,263.03
W39,2.00,2300.00,-1.07,117.49
W43,2.00,2300.00,-0.95,61.66
PC579,2.00,2200.00,-0.88,72.44
W47,2.00,2300.00,-1.55,478.63
W54,2.00,2300.00,-1.46,26.92
W55,2.00,2300.00,-1.25,15.14
W56,2.00,2300.00,-1.54,107.15
W57,2.00,2300.00,-1.03,81.28
W58,2.00,2300.00,-1.73,144.54
W59,2.00,2300.00,-1.49,1479.11
W63,2.00,2300.00,,602.56
W73,2.00,2300.00,-0.87,12.59
W74,2.00,2450.00,-1.16,11.22
W75,2.00,2450.00,-1.00,77.62
W76,2.00,2450.00,-1.87,158.49
W77,2.00,2450.00,-1.51,93.33
W78,2.00,2450.00,-1.16,42.66
W83,2.00,2450.00,-1.17,11.75
W84,2.00,2450.00,-1.47,1380.38
W15,2.00,2600.00,-1.18,43.65
W16,2.00,2600.00,-0.93,17.38
W18,2.00,2600.00,-1.27,213.80
W22,2.00,2600.00,-1.01,21.88
W23,2.00,2600.00,-1.55,630.96
W24,2.00,2600.00,-1.30,239.88
W37,2.00,2600.00,-1.19,173.78
W40,2.00,2600.00,-1.01,74.13
W44,2.00,2600.00,-0.85,42.66
W48,2.00,2600.00,-1.44,257.04
W79,2.00,2600.00,-0.88,15.85
W80,2.00,2600.00,-1.30,18.62
W85,2.00,2600.00,-1.04,7.41
W86,2.00,2600.00,-1.44,1348.96
