Run,Capsule,Pressure,Temperature,fO2,Corrected_fO2,logD,D,Corrected_logD,Corrected_D
GG091603,W,2,1723,-1.12,-1.12,3.02,1047.13,3.89,7762.47
GL112105,W,2,2073,-1.77,-1.77,3.09,1230.27,3.73,5370.32
PC579,C,2,2200,-1.09,-0.88,2.25,177.83,1.86,72.44
W08,C,2,2300,-1.59,-1.26,2.35,223.87,1.84,69.18
W10,C,2,2300,-2.06,-1.69,3.64,4365.16,3.13,1348.96
W12,C,2,2300,-1.35,-1,1.89,77.62,1.36,22.91
W17,C,2,2300,-1.74,-1.38,3.14,1380.38,2.65,446.68
W20,C,2,2300,-1.42,-1.08,2.07,117.49,1.55,35.48
W34,C,2,2300,-1.65,-1.3,2.92,831.76,2.42,263.03
W39,C,2,2300,-1.39,-1.07,2.56,363.08,2.07,117.49
W43,C,2,2300,-1.29,-0.95,2.29,194.98,1.79,61.66
W47,C,2,2300,-1.9,-1.55,3.18,1513.56,2.68,478.63
W54,C,2,2300,-1.8,-1.46,1.93,85.11,1.43,26.92
W55,C,2,2300,-1.59,-1.25,1.7,50.12,1.18,15.14
W56,C,2,2300,-1.9,-1.54,2.54,346.74,2.03,107.15
W57,C,2,2300,-1.4,-1.03,2.37,234.42,1.91,81.28
W58,C,2,2300,-2.06,-1.73,2.66,457.09,2.16,144.54
W59,C,2,2300,-1.82,-1.49,3.71,5128.61,3.17,1479.11
W73,C,2,2300,-1.2,-0.87,1.78,60.26,1.1,12.59
pc580,W,2,2300,-1.35,-1.35,2.33,213.8,2.87,741.31
W74,C,2,2450,-1.52,-1.16,1.64,43.65,1.05,11.22
W75,C,2,2450,-1.38,-1,2.48,302,1.89,77.62
W76,C,2,2450,-2.26,-1.87,2.79,616.6,2.2,158.49
W77,C,2,2450,-1.87,-1.51,2.53,338.84,1.97,93.33
W78,C,2,2450,-1.51,-1.16,2.24,173.78,1.63,42.66
W83,C,2,2450,-1.54,-1.17,1.69,48.98,1.07,11.75
W84,C,2,2450,-1.83,-1.47,3.76,5754.4,3.14,1380.38
W15,C,2,2600,-1.64,-1.18,2.37,234.42,1.64,43.65
W16,C,2,2600,-1.39,-0.93,1.96,91.2,1.24,17.38
W18,C,2,2600,-1.72,-1.27,3.06,1148.15,2.33,213.8
W22,C,2,2600,-1.47,-1.01,2.06,114.82,1.34,21.88
W23,C,2,2600,-2.01,-1.55,3.49,3090.3,2.8,630.96
W24,C,2,2600,-1.77,-1.3,3.08,1202.26,2.38,239.88
W37,C,2,2600,-1.66,-1.19,2.94,870.96,2.24,173.78
W40,C,2,2600,-1.48,-1.01,2.57,371.54,1.87,74.13
W44,C,2,2600,-1.32,-0.85,2.33,213.8,1.63,42.66
W48,C,2,2600,-1.9,-1.44,3.13,1348.96,2.41,257.04
W79,C,2,2600,-1.29,-0.88,1.96,91.2,1.2,15.85
W80,C,2,2600,-1.76,-1.3,1.99,97.72,1.27,18.62
W85,C,2,2600,-1.48,-1.04,1.62,41.69,0.87,7.41
W86,C,2,2600,-1.87,-1.44,3.86,7244.36,3.13,1348.96
