Run,Capsule,Pressure,Temperature,fO2,Corrected_fO2,logD,D,Corrected_logD,Corrected_D
W01,C,6,2300,-2.2,-1.87,3.48,3019.95,3.02,1047.13
W09,C,6,2300,-1.73,-1.42,2.43,269.15,1.94,87.1
W19,C,6,2300,-1.45,-1.12,2.21,162.18,1.68,47.86
W28,C,6,2300,-1.86,-1.54,3.23,1698.24,2.72,524.81
W29,C,6,2300,-1.45,-1.11,2.16,144.54,1.66,45.71
W32,C,6,2300,-1.65,-1.32,2.41,257.04,1.89,77.62
W33,C,6,2300,-1.35,-1.02,2.05,112.2,1.51,32.36
W38,C,6,2300,-1.61,-1.27,2.87,741.31,2.39,245.47
W41,C,6,2300,-1.41,-1.09,2.46,288.4,1.98,95.5
W42,C,6,2300,-1.31,-0.96,2.39,245.47,1.91,81.28
W49,C,6,2300,-1.88,-1.55,3.13,1348.96,2.65,446.68
W91,C,6,2300,-1.57,-1.29,1.71,51.29,1.35,22.39
W45,C,6,2700,-1.96,-1.45,2.79,616.6,2.02,104.71
W46,C,6,2700,-1.51,-0.99,2.46,288.4,1.71,51.29
W50,C,6,2700,-1.91,-1.41,2.99,977.24,2.21,162.18
W51,C,6,2700,-2,-1.5,3.15,1412.54,2.37,234.42
W81,C,6,2700,-1.57,-1.12,1.96,91.2,1.2,15.85
W92,C,6,2700,-1.22,-0.9,1.76,57.54,0.82,6.61
