Run,Capsule,Pressure,Temperature,fO2,Corrected_fO2,logD,D,Corrected_logD,Corrected_D
W01,C,6,2300,-2.2,-1.87,3.48,3019.95,3.02,1047.13
W58,C,2,2300,-2.06,-1.73,2.66,457.09,2.16,144.54
W10,C,2,2300,-2.06,-1.69,3.64,4365.16,3.13,1348.96
W47,C,2,2300,-1.9,-1.55,3.18,1513.56,2.68,478.63
W49,C,6,2300,-1.88,-1.55,3.13,1348.96,2.65,446.68
W56,C,2,2300,-1.9,-1.54,2.54,346.74,2.03,107.15
W28,C,6,2300,-1.86,-1.54,3.23,1698.24,2.72,524.81
W59,C,2,2300,-1.82,-1.49,3.71,5128.61,3.17,1479.11
W54,C,2,2300,-1.8,-1.46,1.93,85.11,1.43,26.92
W09,C,6,2300,-1.73,-1.42,2.43,269.15,1.94,87.1
W17,C,2,2300,-1.74,-1.38,3.14,1380.38,2.65,446.68
W32,C,6,2300,-1.65,-1.32,2.41,257.04,1.89,77.62
W34,C,2,2300,-1.65,-1.3,2.92,831.76,2.42,263.03
W91,C,6,2300,-1.57,-1.29,1.71,51.29,1.35,22.39
W38,C,6,2300,-1.61,-1.27,2.87,741.31,2.39,245.47
W08,C,2,2300,-1.59,-1.26,2.35,223.87,1.84,69.18
W55,C,2,2300,-1.59,-1.25,1.7,50.12,1.18,15.14
W19,C,6,2300,-1.45,-1.12,2.21,162.18,1.68,47.86
W29,C,6,2300,-1.45,-1.11,2.16,144.54,1.66,45.71
W41,C,6,2300,-1.41,-1.09,2.46,288.4,1.98,95.5
W20,C,2,2300,-1.42,-1.08,2.07,117.49,1.55,35.48
W39,C,2,2300,-1.39,-1.07,2.56,363.08,2.07,117.49
W57,C,2,2300,-1.4,-1.03,2.37,234.42,1.91,81.28
W33,C,6,2300,-1.35,-1.02,2.05,112.2,1.51,32.36
W12,C,2,2300,-1.35,-1,1.89,77.62,1.36,22.91
W42,C,6,2300,-1.31,-0.96,2.39,245.47,1.91,81.28
W43,C,2,2300,-1.29,-0.95,2.29,194.98,1.79,61.66
W73,C,2,2300,-1.2,-0.87,1.78,60.26,1.1,12.59
