Run,Capsule,Pressure,Temperature,fO2,Corrected_fO2,logD,D,Corrected_logD,Corrected_D
W05.3,C,0.5,2100,-2.18,-1.88,2.15,141.25,1.76,57.54
W76,C,2,2450,-2.26,-1.87,2.79,616.6,2.2,158.49
W01,C,6,2300,-2.2,-1.87,3.48,3019.95,3.02,1047.13
W1.13,C,1,2100,-2.17,-1.86,3.35,2238.72,2.97,933.25
W1.09,C,1,2100,-2.07,-1.79,2.42,263.03,2.04,109.65
W58,C,2,2300,-2.06,-1.73,2.66,457.09,2.16,144.54
W10,C,2,2300,-2.06,-1.69,3.64,4365.16,3.13,1348.96
W1.12,C,1,2100,-1.92,-1.64,3.55,3548.13,3.14,1380.38
W05.02a,C,0.5,2100,-1.89,-1.6,3.03,1071.52,2.64,436.52
W1.04,C,1,2100,-1.84,-1.55,3.04,1096.48,2.67,467.74
W1.15,C,1,2100,-1.8,-1.55,1.83,67.61,1.48,30.2
W47,C,2,2300,-1.9,-1.55,3.18,1513.56,2.68,478.63
W23,C,2,2600,-2.01,-1.55,3.49,3090.3,2.8,630.96
W49,C,6,2300,-1.88,-1.55,3.13,1348.96,2.65,446.68
W56,C,2,2300,-1.9,-1.54,2.54,346.74,2.03,107.15
W28,C,6,2300,-1.86,-1.54,3.23,1698.24,2.72,524.81
W77,C,2,2450,-1.87,-1.51,2.53,338.84,1.97,93.33
W51,C,6,2700,-2,-1.5,3.15,1412.54,2.37,234.42
W95,C,18,2500,-1.8,-1.5,2.01,102.33,1.51,32.36
W59,C,2,2300,-1.82,-1.49,3.71,5128.61,3.17,1479.11
W1.06,C,1,2100,-1.77,-1.47,2.24,173.78,1.86,72.44
W84,C,2,2450,-1.83,-1.47,3.76,5754.4,3.14,1380.38
W54,C,2,2300,-1.8,-1.46,1.93,85.11,1.43,26.92
W45,C,6,2700,-1.96,-1.45,2.79,616.6,2.02,104.71
W48,C,2,2600,-1.9,-1.44,3.13,1348.96,2.41,257.04
W86,C,2,2600,-1.87,-1.44,3.86,7244.36,3.13,1348.96
W09,C,6,2300,-1.73,-1.42,2.43,269.15,1.94,87.1
